en,fr,de,es,it,kana,ko
Weight: %.2f kg,Poids : %.2f kg,Weight: %.2f kg,Peso: %.2f kg,Weight: %.2f kg,Weight: %.2f kg,Weight: %.2f kg
Height: %.2f m,Taille : %.2f m,Height: %.2f m,Altura: %.2f m,Height: %.2f m,Height: %.2f m,Height: %.2f m
,,,,,,
Palbolsky's PC,PC de Palbolsky,Palbolsky's PC,PC de Palbolsky,Palbolsky's PC,Palbolsky's PC,Palbolsky's PC
Professor's PC,PC du Professeur,Professor's PC,PC del Profesor,Professor's PC,Professor's PC,Professor's PC
Turn off,Déconnexion,Turn off,Apagar,Turn off,Turn off,Turn off
,,,,,,
Organize Boxes,Ranger les Boîtes,Organize Boxes,Organizar Cajas,Organize Boxes,Organize Boxes,Organize Boxes
Withdraw Pokémon,Retirer des Pokémon,Withdraw Pokémon,Sacar Pokémon,Withdraw Pokémon,Withdraw Pokémon,Withdraw Pokémon
Deposit Pokémon,Déposer des Pokémon,Deposit Pokémon,Depositar Pokémon,Deposit Pokémon,Deposit Pokémon,Deposit Pokémon
Manage items,Gérer les objets,Manage items,Administrar objetos,Manage items,Manage items,Manage items
See ya!,Quitter,See ya!,Salir,See ya!,See ya!,See ya!
,,,,,,
%s booted up the PC.,%s allume le PC.,%s booted up the PC.,%s encendió el PC.,%s booted up the PC.,%s booted up the PC.,%s booted up the PC.
"Which PC to access ?",A quel PC souhaitez-vous accéder ?,"Which PC to access ?",¿A qué PC quieres acceder?,"Which PC to access ?","Which PC to access ?","Which PC to access ?"
"What to do ?",Que voulez-vous faire ?,"What to do ?",¿Qué quieres hacer?,"What to do ?","What to do ?","What to do ?"
Professor seems afk...,Le professeur semble absent pour le moment...,Professor seems afk...,Parece que el Profesor está ausente...,Professor seems afk...,Professor seems afk...,Professor seems afk...
Cancel trade ?,Voulez-vous annuler l'échange ?,Cancel trade ?,¿Cancelar intercambio?,Cancel trade ?,Cancel trade ?,Cancel trade ?
Choose the theme.\nlUse left and right arrow to switch theme.,Choisissez votre thème.\nl(Flèche gauche et droite pour changer de thème.),Choose the theme.\nlUse left and right arrow to switch theme.,Escoge un tema.\nlUsa la tecla izquierda y derecha para cambiar entre temas.,Choose the theme.\nlUse left and right arrow to switch theme.,Choose the theme.\nlUse left and right arrow to switch theme.,Choose the theme.\nlUse left and right arrow to switch theme.
The new theme was registered.,Le nouveau thème a été enregistré.,The new theme was registered.,Se ha registrado un nuevo tema.,The new theme was registered.,The new theme was registered.,The new theme was registered.
Trade,Échanger,Trade,Intercambiar,Trade,Trade,Trade
%s holds no item.,%s ne tient rien.,%s holds no item.,%s no tiene nigún objeto.,%s holds no item.,%s holds no item.,%s holds no item.
,,,,,,
,,,,,,
Do you accept the trade ?,Acceptez-vous l'échange ?,Do you accept the trade ?,¿Quieres aceptar el intercambio?,Do you accept the trade ?,Do you accept the trade ?,Do you accept the trade ?
Yes,Oui,Yes,Sí,Yes,Yes,Yes
No,Non,No,No,No,No,No
You declined the trade[WAIT 40].[WAIT 40].[WAIT 40].,Vous refusez l'échange[WAIT 40].[WAIT 40].[WAIT 40].,You declined the trade[WAIT 40].[WAIT 40].[WAIT 40].,Rechazaste el intercambio[WAIT 40].[WAIT 40].[WAIT 40].,You declined the trade[WAIT 40].[WAIT 40].[WAIT 40].,You declined the trade[WAIT 40].[WAIT 40].[WAIT 40].,You declined the trade[WAIT 40].[WAIT 40].[WAIT 40].
Trade done! (Animation will come later),Echange effectué (l'animation c'est pour plus tard),Trade done! (Animation will come later),¡Intercambio realizado! (La animación vendrá después),Trade done! (Animation will come later),Trade done! (Animation will come later),Trade done! (Animation will come later)
Trade canceled...,L'échange a été annulé...,Trade canceled...,Intercambio cancelado...,Trade canceled...,Trade canceled...,Trade canceled...
Give up ?,Voulez-vous abandonner ?,Give up ?,¿Darte por vencido?,Give up ?,Give up ?,Give up ?
Your partner declined the trade.,Votre partenaire a refusé l'échange.,Your partner declined the trade.,Tu compañero rechazó el intercambio.,Your partner declined the trade.,Your partner declined the trade.,Your partner declined the trade.
Do you wanna trade with %s (%05d)?,Voulez-vous échanger avec %s (%05d) ?,Do you wanna trade with %s (%05d)?,¿Quieres intercambiar con %s (%05d)?,Do you wanna trade with %s (%05d)?,Do you wanna trade with %s (%05d)?,Do you wanna trade with %s (%05d)?
"Your code is \c[2]%s\c[0], give it to your partner...\nlYou can use CTRL+C to copy the code.","Votre code est \c[2]%s\c[0], donnez le à votre partenaire...\nlVous pouvez utiliser CTRL+C pour le copier.","Your code is \c[2]%s\c[0], give it to your partner...\nlYou can use CTRL+C to copy the code.","Your code is \c[2]%s\c[0], give it to your partner...\nlYou can use CTRL+C to copy the code.","Your code is \c[2]%s\c[0], give it to your partner...\nlYou can use CTRL+C to copy the code.","Your code is \c[2]%s\c[0], give it to your partner...\nlYou can use CTRL+C to copy the code.","Your code is \c[2]%s\c[0], give it to your partner...\nlYou can use CTRL+C to copy the code."
PSDK wasn't able to port forward the server...,PSDK n'a pas réussi à ouvrir un port...,PSDK wasn't able to port forward the server...,PSDK wasn't able to port forward the server...,PSDK wasn't able to port forward the server...,PSDK wasn't able to port forward the server...,PSDK wasn't able to port forward the server...
Enter your partner code.\nlYou can use CTRL+V to paste it.,Entrez le code de votre partenaire.\nlVous pouvez utiliser CTRL+V pour le coller.,Enter your partner code.\nlYou can use CTRL+V to paste it.,Enter your partner code.\nlYou can use CTRL+V to paste it.,Enter your partner code.\nlYou can use CTRL+V to paste it.,Enter your partner code.\nlYou can use CTRL+V to paste it.,Enter your partner code.\nlYou can use CTRL+V to paste it.
Invalid code! Try another one ?,"Le code est invalide, désirez-vous réessayer ?",Invalid code! Try another one ?,Invalid code! Try another one ?,Invalid code! Try another one ?,Invalid code! Try another one ?,Invalid code! Try another one ?
Your partner isn't connected with this code...\nlTry with another one ?,Le partenaire désigné par le code ne répond pas...\nlDésirez vous entrer un autre code ?,Your partner isn't connected with this code...\nlTry with another one ?,Your partner isn't connected with this code...\nlTry with another one ?,Your partner isn't connected with this code...\nlTry with another one ?,Your partner isn't connected with this code...\nlTry with another one ?,Your partner isn't connected with this code...\nlTry with another one ?
"\c[2]Warning, you're trading on a local network.","\c[2]Attention, votre échange se fait sur le réseau local.","\c[2]Warning, you're trading on a local network.","\c[2]Warning, you're trading on a local network.","\c[2]Warning, you're trading on a local network.","\c[2]Warning, you're trading on a local network.","\c[2]Warning, you're trading on a local network."
Your partner gave up...,Votre partenaire a abandonné l'échange.,Your partner given up...,Tu compañero se dio por vencido...,Your partner given up...,Your partner given up...,Your partner given up...
Connexion reset.,La connexion a été interrompue.,Connexion reset.,Reiniciar conexión.,Connexion reset.,Connexion reset.,Connexion reset.
,,,,,,
: next,: suivant,: next,: siguiente,: next,: next,: 다음
: moves,: attaques,: attacken,: movimient.,: moves,: moves,: 이동
: stats,: stats,: stats,: estadís.,: stats,: stats,: 통계
: quit,: quitter,: beenden,: salir,: quit,: quit,: 종료
: memo,: memo,: memo,: informe,: memo,: memo,: 메모
: select,: choisir,: select,: elegir,: select,: select,: 고르다
: switch,: déplacer,: tausch,: cambiar,: switch,: switch,: 스위치
: confirm,: confirmer,: bestätigen,: confirmar,: confirm,: confirm,: 확인
Choose a move,Choisissez une attaque,Choose a move,Escoge un movimiento,Choose a move,Choose a move,이동을 선택
,,,,,,
,,,,,,
Voltorb Flip,Voltorbataille,Voltorb Flip,Voltorb Flip,Voltorb Flip,Voltorb Flip,Voltorb Flip
Welcome to the Voltorb Flip !,Bienvenue au Voltorbataille !,Welcome to the Voltorb Flip !,Welcome to the Voltorb Flip !,Welcome to the Voltorb Flip !,Welcome to the Voltorb Flip !,Welcome to the Voltorb Flip !
Play Voltorb Flip level %d ?,Jouer à Voltorbataille niveau %d ?,Play Voltorb Flip level %d ?,Play Voltorb Flip level %d ?,Play Voltorb Flip level %d ?,Play Voltorb Flip level %d ?,Play Voltorb Flip level %d ?
Play,Jouer,Play,Play,Play,Play,Play
Infos,Infos,Infos,Infos,Infos,Infos,Infos
Leave,Partir,Leave,Leave,Leave,Leave,Leave
What do you want to know ?,Que voulez-vous savoir ?,What do you want to know ?,What do you want to know ?,What do you want to know ?,What do you want to know ?,What do you want to know ?
Rules,Règles,Rules,Rules,Rules,Rules,Rules
Clue,Indices,Clue,Clue,Clue,Clue,Clue
The memo,Le mémo,The memo,The memo,The memo,The memo,The memo
Back,Retour,Back,Back,Back,Back,Back
_RULES_,_RULES_,_RULES_,_RULES_,_RULES_,_RULES_,_RULES_
_CLUE_,_CLUE_,_CLUE_,_CLUE_,_CLUE_,_CLUE_,_CLUE_
_MEMO_,_MEMO_,_MEMO_,_MEMO_,_MEMO_,_MEMO_,_MEMO_
Choose 'Quit' now will make you earn %d coin.\nlQuit now ?,Choisir 'Quitter' maintenant vous permet d'empocher %d jetons.\nlQuitter maintenant ?,Choose 'Quit' now will make you earn %d coin.\nlQuit now ?,Choose 'Quit' now will make you earn %d coin.\nlQuit now ?,Choose 'Quit' now will make you earn %d coin.\nlQuit now ?,Choose 'Quit' now will make you earn %d coin.\nlQuit now ?,Choose 'Quit' now will make you earn %d coin.\nlQuit now ?
You've get %d coins !,Vous empochez %d jetons !,You've get %d coins !,You've get %d coins !,You've get %d coins !,You've get %d coins !,You've get %d coins !
Game level down to %d.,Le jeu est descendu au niveau %d.,Game level down to %d.,Game level down to %d.,Game level down to %d.,Game level down to %d.,Game level down to %d.
Win !,Gagné !,Win !,Win !,Win !,Win !,Win !
Every cards with 2 or 3 points are revealed...,Toutes les cartes de 2 et ou 3 points ont été retournées...,Every cards with 2 or 3 points are revealed...,Every cards with 2 or 3 points are revealed...,Every cards with 2 or 3 points are revealed...,Every cards with 2 or 3 points are revealed...,Every cards with 2 or 3 points are revealed...
You won %d jetons !,Vous gagnez %d jetons !,You won %d jetons !,You won %d jetons !,You won %d jetons !,You won %d jetons !,You won %d jetons !
"Game level raise to %d, gains are more important.","Le jeu est monté niveau %d, les gains sont plus importants.","Game level raise to %d, gains are more important.","Game level raise to %d, gains are more important.","Game level raise to %d, gains are more important.","Game level raise to %d, gains are more important.","Game level raise to %d, gains are more important."
You loose every coin of the game...,Vous perdez tous les jetons de la manche...,You loose every coin of the game...,You loose every coin of the game...,You loose every coin of the game...,You loose every coin of the game...,You loose every coin of the game...
L%d,N%d,L%d,L%d,L%d,L%d,L%d
,,,,,,
New,Début de :,Neue,Nueva:,New,New,New
Completed,Fin de :,Completed,¡Completada!,Completed,Completed,Completed
Failed,Échec de :,Failed,Failed,Failed,Failed,Failed
Letter,Lettres,Brief,Carta,Letter,Letter,Letter
Favorites,Favoris,Favoriten,Favoritos,Favorites,Favorites,Favorites
: action,: action,: action,: acción,: action,: action,: action
: info,: info,: info,: informac.,: info,: info,: info
: sort,: trier,: sort,: ordenar,: sort,: sort,: sort
: sell,: vendre,: verkaufen,: vender,: sell,: sell,: sell
: plant,: planter,: pflanzen,: plantar,: plant,: plant,: plant
: give,: donner,: geben,: dar,: give,: give,: give
: choose,: choisir,: wähle,: escoger,: choose,: choose,: choose
: use,: utiliser,: benutze,: usar,: use,: use,: use
Searching...,Rechercher...,Sucht...,Buscando...,Searching...,Searching...,Searching...
,,,,,,
Use your keyboard and press ENTER,Utilisez le clavier pour entrer le nom puis appuyez sur Entrée.,Use your keyboard and press ENTER,Use your keyboard and press ENTER,Use your keyboard and press ENTER,Use your keyboard and press ENTER,Use your keyboard and press ENTER
How would you name %<name>s?,Comment renommer %<name>s ?,How would you name %<name>s?,How would you name %<name>s?,How would you name %<name>s?,How would you name %<name>s?,How would you name %<name>s?
,,,,,,
Message Frame,Fenêtres,Message Frame,Message Frame,Message Frame,Message Frame,Message Frame
Choose the message box frame.\nlPress A to test!,Modifie la fenêtre des messages.\nlAppuyez sur A pour tester !,Choose the message box frame.\nlPress A to test!,Choose the message box frame.\nlPress A to test!,Choose the message box frame.\nlPress A to test!,Choose the message box frame.\nlPress A to test!,Choose the message box frame.\nlPress A to test!
Language,Langue,Language,Language,Language,Language,Language
Choose the language of the game.,Modifie la langue utilisé par le jeu.,Choose the language of the game.,Choose the language of the game.,Choose the language of the game.,Choose the language of the game.,Choose the language of the game.
